,ID,Value,CooX,CooY,CooZ,month
0,Lluvia Pampa Colorada,-21.7,656771.823147,7357220.40082,4426.0,1
1,Lluvia Tuyajto,-8.8,643219.32552,7351215.14471,4040.0,1
2,NIEVE-2,0.4,632692.259083,7346521.1145,3900.0,1
3,Rain at Peine,-66.0075,595100.58022,7380690.97758,2381.0,1
4,Precip from Tilocalar,-22.866061,584483.156078,7368065.59562,2438.0,1
5,Rain at Peine house,-6.623116,595101.066896,7380687.43122,2375.0,1
6,Rain north of Tilomonte Creek,-43.842557,590643.746215,7370959.17242,2345.0,1
7,Rain on TPB5 road,-35.757126,576887.215284,7384275.23849,2300.0,1
8,Rain on salar from S line road,0.943282,572133.052927,7382875.28898,2300.0,1
9,Tilocalar rain,-31.569362,584647.209962,7368244.00726,2465.0,1
10,Toconao,-50.902331333333336,602345.0,7434865.0,2516.0,1
11,LLUVIA CAMAR,-21.77,606675.0,7411240.0,2700.0,1
12,LLUVIA TOCONAO,-23.88,602427.0,7434737.0,2500.0,1
13,LZA3-1,-5.806705,590919.0,7403566.0,2305.0,1
14,ALMA,-38.266772,629027.0,7451565.0,5064.0,1
15,Chaxa,-29.062801,583503.0,7424258.0,2307.0,1
16,Tatio,-35.140881,601280.0,7527955.0,4310.0,1
0,Lluvia Pampa Colorada,-43.0,656771.823147,7357220.40082,4426.0,2
1,Lluvia Tuyajto,-32.9,643219.32552,7351215.14471,4040.0,2
2,NIEVE-2,-36.7,632692.259083,7346521.1145,3900.0,2
3,Tom-,-15.55,594404.0,7480449.0,3223.0,2
4,Tom-3,-61.7,606862.0,7466101.0,3380.0,2
5,TUI07,-73.2,644378.72944,7359684.93726,4616.0,2
6,KCl,-57.985783,561356.0,7396255.0,2308.0,2
7,LZA3-1,-74.987205,590919.0,7403566.0,2305.0,2
8,LZA9-1,-76.301792,584309.0,7380451.0,2306.0,2
9,Toconao,-53.201848,602345.0,7434865.0,2516.0,2
10,Chaxa,-27.804784,583503.0,7424258.0,2307.0,2
0,n_16,-57.6,600429.7,7527110.69,4290.0,3
1,Lluvia Pampa Colorada,-64.9,656771.823147,7357220.40082,4426.0,3
2,NIEVE-2,-36.9,632692.259083,7346521.1145,3900.0,3
3,NIEV-1,-67.3,616825.34,7464166.45,4222.0,3
4,NIEV-2,-64.1,620175.67,7464881.97,4505.0,3
5,NIEV-3,-71.4,623533.01,7465415.48,4686.0,3
6,NIEV-4,-92.7,634795.13,7461345.74,4803.0,3
7,Tom-,-36.849999999999994,594404.0,7480449.0,3223.0,3
8,Tom-6,-23.5,619149.0,7464912.0,4047.0,3
9,TUI07,-102.5,644378.72944,7359684.93726,4616.0,3
10,TUI08,-80.7,638395.035859,7351023.58138,3954.0,3
11,P-2,-47.8,603583.0,7401666.0,2576.0,3
12,Toconao,-35.543309,602345.0,7434865.0,2516.0,3
13,Chaxa,-46.706537000000004,583503.0,7424258.0,2307.0,3
14,R5_01032019_(P5),-89.4,618136.0,7357929.0,4022.0,3
0,Tom-2,-31.3,612594.0,7465258.0,3901.0,4
1,P-4,-91.3,618669.0,7387433.0,3667.0,4
2,LZA3-1,-41.107431,590919.0,7403566.0,2305.0,4
3,LZA9-1,-51.710481,584309.0,7380451.0,2306.0,4
0,Rain at Peine,-139.7024682579691,595100.58022,7380690.97758,2381.0,5
1,Rain on Salar,-81.7782,577043.228712,7367562.38917,2326.219512,5
2,Socaire snow,-61.908999,617420.042174,7387869.3882,3615.54878,5
3,TUI07,-79.4,644378.72944,7359684.93726,4616.0,5
4,TUI08,-71.3,638395.035859,7351023.58138,3954.0,5
5,Toconao,-53.324819,602345.0,7434865.0,2516.0,5
6,R5_01032019_(P5),-81.9,618136.0,7357929.0,4022.0,5
0,Chaxa,-76.617054,583503.0,7424258.0,2307.0,6
1,KCl,-91.114212,561356.0,7396255.0,2308.0,6
2,LZA3-1,-90.622504,590919.0,7403566.0,2305.0,6
3,Toconao,-75.161676,602345.0,7434865.0,2516.0,6
0,P-2_3-A,-91.9,606969.0,7395952.0,2854.0,7
1,P-3,-93.8,613271.0,7390766.0,3277.0,7
2,P-3_4-A,-100.0,615056.0,7388512.0,3470.0,7
3,P-4,-95.7,618669.0,7387433.0,3667.0,7
4,P-4_5-A,-106.0,617835.0,7372682.0,3858.0,7
5,R5_01032019_(P5),-102.7,618136.0,7357929.0,4022.0,7
0,Chaxa,-25.906004,583503.0,7424258.0,2307.0,8
1,LZA3-1,-21.357244,590919.0,7403566.0,2305.0,8
2,LZA9-1,-52.253869,584309.0,7380451.0,2306.0,8
3,Toconao,-18.030817,602345.0,7434865.0,2516.0,8
4,KCl,-49.613344,561356.0,7396255.0,2308.0,8
0,Toconao,-52.7,602345.0,7434865.0,2516.0,9
1,TUI08,-107.8,638395.035859,7351023.58138,3954.0,9
2,KCl,21.706086,561356.0,7396255.0,2308.0,9
3,LZA3-1,6.548494,590919.0,7403566.0,2305.0,9
0,Near pass to MandM,-60.598315,622936.85689,7374221.38924,4226.0,10
1,LZA9-1,2.696594,584309.0,7380451.0,2306.0,10
2,LZA3-1,-43.698553,590919.0,7403566.0,2305.0,10
0,ALMA,-53.239116,629027.0,7451565.0,5064.0,11
1,Jama,-70.038336,702314.0,7428940.0,4096.0,11
2,Tatio,-49.265605,601280.0,7527955.0,4310.0,11
0,TUI07,-98.8,644378.72944,7359684.93726,4616.0,12
1,ALMA,-28.244483,629027.0,7451565.0,5064.0,12
2,Jama,-7.321059,702314.0,7428940.0,4096.0,12
3,Tatio,-30.330217,601280.0,7527955.0,4310.0,12
